,actor1,assoc_actor_1,actor2,assoc_actor_2,collab_events,mon_yr,notes,event_id_cnty,event_id_no_cnty
388407,Protesters (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,,,2018-12,08 December. Members of CNDD-FDD demonstrated in Muyinga to show their support of the Burundian government to bring to justice the former authorities of the country in the case of the assassination of President Ndadaye,BUR8319,8319
388408,Protesters (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,,,2018-12,08 December. Members of the CNDD-FDD party of Ngozi protested in Ngozi against AUC Chairperson Faki,BUR8318,8318
388411,Protesters (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,,,2018-12,08 December. Members of the CNDD-FDD of Cankuzo marched to show their support to support the decision to reopen the case of the assassination of the President Ndadaye.,BUR8315,8315
388412,Protesters (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,,,2018-12,08 December. Members of the CNDD-FDD party and some members of the UPRONA marched through Muramvya and demanded the truth about the assassination of President Ndadaye.,BUR8316,8316
388415,Protesters (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,,,2018-12,08 December. Members of the CNDD-FDD protested in Bubanza to support the decision of the justice to issue warrants against the alleged perpetrators of the assassination of President Ndadaye.,BUR8317,8317
388419,Protesters (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,,,2018-12,08 December. Members of the CNDD-FDD of Kirundo marched to show their support to the decision to reopen the case of the assassination of the President Ndadaye.,BUR8314,8314
388585,Protesters (Democratic Republic of Congo),Women (Democratic Republic of Congo),,,,2018-12,07 December. Women demonstrated in Beni to show their support for FARDC-MONUSCO efforts to combat the ADF and Mayi Mayi.,DRC13203,13203
388771,Protesters (Sudan),Students (Sudan),,,,2018-12,"On or before December 7th, school children demonstrated in the town of Maiurno in Sennar (Blue Nile), at the surging price and unavailability of bread.",SUD11651,11651
389923,Protesters (Algeria),Farmers (Algeria),,,,2018-12,"On 5 December, the inhabitants of Debha in Amizour organised a protest in front of the prefecture to call for a clear ownership determination of land that they want to use for farming.",ALG5695,5695
389925,Protesters (Algeria),Students (Algeria),,,,2018-12,"In the week of December 5th, students continued to block entrance to the Targa Ouezmour and Abouadou campus of Bejaia University to denounce the expulsion of 34 students known to be politically active from the university. The students were said to have remained on strike between November 27th to December 5th.",ALG5696,5696
389942,Protesters (Algeria),Students (Algeria),,,,2018-12,"On 12 December, students from the fine arts university in Azazga have protested for more than a week to denounce the critical situation in the school and counterproductive actions, strikes and protests organised by the UGTA syndicate against the school. 3 protests coded on 5, 8 and 12 December.",ALG5703,5703
390226,Protesters (Niger),Labour Group (Niger),,,,2018-12,"On December 4, workers protested at the Arlit uranium mine and prevented directors from leaving the area, the situation was solved through negotiations.",NIR708,708
390999,Protesters (Algeria),Students (Algeria),,,,2018-12,"On 3 December, students at the Tamda campus of the Mouloud-Mammeri university of Tizi Ouzou shut down the rectorate to denounce the bad conditions at the university. Students have been on strike for two weeks.",ALG5684,5684
391394,Protesters (Sudan),RAC: Revolutionary Awakening Council,Gov(Sudan),,1,2018-12,"On December 2nd, protesters from the Sudanese Awakening Revolutionary Council were arrested at an unspecified location in Darfur (coordinates for Adilla, East Darfur used, due to President al-Bashir speaking at this location on the date of the protest). The demonstrators were calling for Musa Hilal and other members of the SARC to be released from prison.",SUD11641,11641
391833,Protesters (Algeria),Students (Algeria),,,,2018-12,"On 1 December, Tamazigh students of Akhli-Mohand Oulhadj university in Bouira protested to call for an improvement of their study conditions.",ALG5666,5666
392122,Protesters (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,,,2018-12,01 December. Imbonerakure led by their leader in Busoni commune hit the streets and showed their support for President Nkurunziza.,BUR8302,8302
392877,Protesters (Algeria),Farmers (Algeria),,,,2018-11,"On 29 November, farmers protested in front of the prefecture in Hamadia against the delay in the demarcation of land which was given to them as part of an investment scheme in Rechaiga.",ALG5660,5660
393001,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-11,"On November 29, in Obigbo town, APC members staged a demonstration and campaigned for their party for the elections.",NIG13458,13458
393235,Protesters (Nigeria),Women (Nigeria),,,,2018-11,"28 November. Over 500 women protested in Uyo, demonstrating their support for the governor. The demonstrators also alleged that the police provided support to expelled politicians.",NIG13400,13400
393274,Protesters (Algeria),Students (Algeria),,,,2018-11,"On 28 November, Tamazigh students of Akhli-Mohand Oulhadj university in Bouira protested to call for an improvement of their study conditions and went on an open-ended stirke.",ALG5652,5652
393370,Protesters (Algeria),Students (Algeria),,,,2018-11,"In the week of November 28th, students continued to block entrance to the Targa Ouezmour and Abouadou campus of Bejaia University to denounce the expulsion of 34 students known to be politically active from the university. The students were said to have remained on strike between November 26 and December 2.",ALG5657,5657
393550,Protesters (Algeria),Students (Algeria),,,,2018-11,"On 28 November, students at the Tamda campus of the Mouloud-Mammeri university of Tizi Ouzou shut down the rectorate to denounce the bad conditions at the university. Students blocked the campus for more than two weeks. Events coded on 21 November 28 November and 3 December.",ALG5650,5650
393714,Protesters (Somalia),Labour Group (Somalia),Gov(Somalia),,,2018-11,27 November. SLP arrested an unspecified number of taxi drivers of specific saloon vehicles in Hargeisa after a peaceful demonstration against the banning of specific saloon vehicle taxis from transporting passengers and goods outside of Hargeisa.,SOM27274,27274
393962,Protesters (Algeria),Farmers (Algeria),,,,2018-11,"On 27 November, farmers protested in front of the governor's seat in Bechar to call for the abolition of a 15-year old directive which prohibits to use border land as range land.",ALG5700,5700
394103,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2018-11,"On November 27th, refugees from Sudan protested outside the UNHCR headquarters in Accra, at the alleged refusal of the organisation to provide refugee identification cards to the refugees.",GHA668,668
394324,Protesters (Algeria),Students (Algeria),,,,2018-11,"On 26 November, chemistry students of Akhli-Mohand Oulhadj university in Bouira protested to call for an improvement of their study conditions and started an open-ended strike.",ALG5646,5646
394368,Protesters (Algeria),Students (Algeria),,,,2018-11,"On Nov 26, a number of students and their parents from Ait Ighil village in the Agouni Gueghrane commune staged a protest in front of the local authority calling for a school transport system to be created. Today, children in primary school walk between 3-5 kilometers to school.",ALG5621,5621
395099,Protesters (Nigeria),Women (Nigeria),,,,2018-11,"On November 25, in Brass town, women and community stakeholders staged a protest for unknown reasons.",NIG13456,13456
396271,Protesters (Morocco),Labour Group (Morocco),Gov(Morocco),,,2018-11,"On Nov 22, workers from the Ozone company staged a protest in Taourirt to denounce restrictions on trade union activity by the company's management. Police intervened and arrested 10 workers.",MOR1449,1449
396318,Protesters (Algeria),Students (Algeria),,,,2018-11,"In the week of November 19th, students continued to block entrance to the Targa Ouezmour campus of Bejaia University to denounce the expulsion of 34 students known to be politically active from the university. The students were said to have remained on strike between November 18-25th. Coded as two events on November 18th and 22nd.",ALG5615,5615
396337,Protesters (South Sudan),Refugees/IDPs (South Sudan),,,,2018-11,"On November 22nd, IDPs at the UNMISS base in Jebel on the outskirts of Juba (Central Equatoria) demonstrated against a cut in food rations, and the alleged lack of food rations for the past three months.",SSD5351,5351
396696,Protesters (Algeria),Students (Algeria),,,,2018-11,"On 21 November, students at the Tamda campus of the Mouloud-Mammeri university of Tizi Ouzou shut down the rectorate to denounce the bad conditions at the university. Students blocked the campus for more than two weeks. Events coded on 21 November 28 November and 3 December.",ALG5641,5641
396821,Protesters (Somalia),Labour Group (Somalia),,,,2018-11,21 November. Construction labourers demonstrated peacefully in front of the Office of the Governor of Sahil region against construction companies who employed foreign workers instead of the locals.,SOM27209,27209
397259,Protesters (South Sudan),Gov(South Sudan),,,,2018-11,"On November 20th, disabled soldiers protested in Juba (Central Equatoria) over the non-payment of medical allowences. The Minister of the Interior acknowledged the issue, and pledged that the government would resolve the matter.",SSD5349,5349
397598,Protesters (Algeria),Students (Algeria),Gov(Algeria),,,2018-11,"On Nov 20, police forces brutally dispersed a student demonstration for the release of blogger Merzoug Touati, jailed since January 2017, in front of the Targa Ouezmour campus of Bejaia University. Nearly all students, several dozens, were arrested and released the same day.",ALG5600,5600
397608,Protesters (Algeria),Students (Algeria),,,,2018-11,"On Nov 20, a protest was held on the Said Makbel square of Bejaia calling for the release of blogger Merzoug Touati, jailed since January 2017. A number of students joined the demonstration after they were released following arrest during a similar protest earlier in the day in the Targa ouezmour campus of Bejaia University.",ALG5598,5598
397719,Protesters (Central African Republic),PK5 Communal Militia (Central African Republic),,,1,2018-11,"On Nov 20, Muslim PK5 militiamen held a small protest in Bangui's PK5 area holding signs against Russian presence in the country. This took place after an attack on the HQs of PK5 leader 'Force' on Nov 17, which some attributed to a Russian drone.",CEN4303,4303
397755,Protesters (Libya),Refugees/IDPs (Libya),Gov(Libya),,,2018-11,"On November 20, Libyan forces of the GNA dispersed a sit-in observed by refugees in the Misrata port by firing rubber bullets, several refugees were wounded, they were also transferred to a detention center.",LBY7222,7222
398173,Protesters (Algeria),Students (Algeria),,,,2018-11,"On Nov 19, a number of students held a protest in the Ahmed Hammani Zerzara campus of Mentouri university area to call for the traffic to be slowed down around the campus, after a student was killed by a car three days before.",ALG5595,5595
398263,Protesters (Algeria),Women (Algeria),,,,2018-11,"On Nov 19, women residents from El Khroub staged a protest in front of the wali's office to denounce the time allocating them social housings is taking. Some of them first applied in 2011.",ALG5596,5596
398359,Protesters (Algeria),Students (Algeria),,,,2018-11,"On Nov 18, students of Bejaia University forcibly closed the gate of the Targa Ouezmour campus to denounce the expulsion of 34 students known to be politically active from the university.",ALG5587,5587
398363,Protesters (Algeria),Women (Algeria),,,,2018-11,"On Nov 18, women residents from Oran staged a protest in front of the wali's office to denounce the time allocating them social housings is taking. Some of them first applied in 1995.",ALG5590,5590
398364,Protesters (Algeria),Students (Algeria),,,,2018-11,"On Nov 18, students of Bejaia University stormed the HQs of the direction of university affairs in El Kseur to denounce the expulsion of 34 students known to be politically active from the university.",ALG5588,5588
398748,Protesters (Angola),MRA: Angolan Revolutionary Movement,Gov(Angola),,,2018-11,"On Nov 17, Angolans from the Revolutionary Movement held a protest near the presidential palace in Luanda to denounce Operation Rescue, carried out by the authorities, as a war against the poor. A number of protesters were reported to have been injured by police forces during the protest.",ANG3224,3224
400387,Protesters (Nigeria),RN: Rebirth Nigeria,Gov(Nigeria),,,2018-11,"14 November. Members of the 'Rebirth of Nigeria' stormed the National Assembly, calling for an overhaul of the national budget. Security officers dispersed the demonstrators.",NIG13344,13344
401942,Protesters (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,,1,2018-11,"On November 11, in Murwi commune (Murwi, Cibitoke), thousands of Imbonerakure youths staged a demonstration and sang intimidating songs and blocked traffic during the opening ceremony of the CNDD-FDD party's communal office, demanding that recalcitrant opponents be wounded.",BUR8246,8246
403940,Protesters (Democratic Republic of Congo),Students (Democratic Republic of Congo),Gov(DRC),,,2018-11,"On 7 November 2018, students gathered at the Bungulu '30th of June' roundabout in Beni city (Beni, Nord-Kivu) to denounce the desensitization of the Beni population to violence. Altogether, four demonstrators were stopped and arrested by police for revolting against local authorities. [size=at least four]",DRC18146,18146
404827,Protesters (Cameroon),MRC: Movement for Renewal of Cameroon,Gov(Cameroon),,,2018-11,05 November. MRC supporters organized a protest against Biya. Police forces dispersed the protest and arrested demonstrators.,CAO1789,1789
404836,Protesters (Nigeria),Labour Group (Nigeria),,,,2018-11,05 November. Staff of the Federal University in Lokoja protested over continual delays in salary payments.,NIG13306,13306
405141,Protesters (Cameroon),MRC: Movement for Renewal of Cameroon,Gov(Cameroon),,,2018-11,"04 November. Kamto supporters protested in Bafoussam over the presidential election results. Police dispersed the protest. At least 19 arrests were made, while the MRC has said 38 were detained.",CAO1786,1786
406378,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-11,"On November 2, in Kobo town (Semen Wello, Amhara), Amhara ethnic group activists staged demonstrations for the fifth day against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4931,4931
406875,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-11,"On November 1, in Kobo town (Semen Wello, Amhara), Amhara ethnic group activists staged demonstrations for the fourth day against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4930,4930
406896,Protesters (Kenya),Students (Kenya),,,,2018-10,"On or before October 31st, approximately 100 students marched to Kakamega South police station (coordinates for Kakamega used), to protest the sexual assault at Bushianga Technical College.",KEN6663,6663
407365,Protesters (Somalia),Labour Group (Somalia),,,,2018-10,31 October. A group of construction laborers demonstrated peacefully against their employers over contracting foreigners. The demonstration took place in front of Sahil Governor Office.,SOM27023,27023
407461,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-10,"On October 31, in Kobo town (Semen Wello, Amhara), Amhara ethnic group activists staged demonstrations for the third day against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4928,4928
407572,Protesters (Nigeria),Women (Nigeria),,,,2018-10,30 October. Women from Orumba North and South demonstrated in Oko. The women expressed their frustrations with erosion caused by excavation in the area. The erosion has resulted in landslides.,NIG13284,13284
407576,Protesters (Nigeria),Labour Group (Nigeria),,,,2018-10,30 October. Union groups in Oshogbo demonstrated demanding a new national minimum wage.,NIG13289,13289
407584,Protesters (Burkina Faso),Labour Group (Burkina Faso),,,,2018-10,"On October 30, textile workers protested in front of the headquarters of the textile company SOFITEX, expressing their disconent with the management.",BFO1190,1190
407635,Protesters (Nigeria),Labour Group (Nigeria),,,,2018-10,30 October. Labour groups demonstrated in Lokoja to demand a new national minimum wage.,NIG13290,13290
407695,Protesters (Nigeria),Labour Group (Nigeria),,,,2018-10,30 October. Union groups protested in Abuja calling for a new national minimum wage.,NIG13287,13287
407701,Protesters (Burkina Faso),Labour Group (Burkina Faso),,,,2018-10,"On October 30, mine workers protested in front of the headquarters of the Burkinabe mining company SMB because of 18 months of unpaid salaries by their new employer Balaji.",BFO1189,1189
407944,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-10,"On October 30, in Kobo town (Semen Wello, Amhara), Amhara ethnic group activists staged demonstrations for the second day against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4924,4924
408349,Protesters (South Sudan),Students (South Sudan),,,,2018-10,"On October 29th, around 200 students from the at Dr John Garang Memorial University of Science and Technology gathered in Bor (Jonglei state) to protest against insecurity on the Juba-Bor road, following the wounding of a student two days prior.",SSD5326,5326
408459,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-10,"On October 29, in Kobo town (Semen Wello, Amhara), Amhara ethnic group activists staged demonstrations against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4922,4922
408837,Protesters (Cameroon),MRC: Movement for Renewal of Cameroon,Gov(Cameroon),,,2018-10,28 October. Members of the MRC protested against the election results in Yaounde. Police arrested the demonstrators.,CAO1763,1763
408926,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),,,,2018-10,"On October 27, in Nekemt city (Oromia, Misraq Wellega), people staged demonstrations demanding justice for attacks in Benishangul Gumuz State, asking the government take legal measures against forces who killed at least 50 people.",ETH4908,4908
408942,Protesters (Cameroon),MRC: Movement for Renewal of Cameroon,Gov(Cameroon),,,2018-10,27 October. Members of the MRC party protested in the streets against the election results in Douala. The protest was not approved by the government. At least 50 protesters were arrested by police and the offices of the MRC ransacked.,CAO1757,1757
409451,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),,,,2018-10,"On October 26, in Nekemt city (Oromia, Misraq Wellega), people staged demonstrations demanding attention of the government on the displacement of the Oromo people from on the border of Benishangul Gumuz region.",ETH4907,4907
409989,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-10,"On October 25, in Mohny town (Amhara, coded as north Welo prec2), Amhara ethnic group activists staged demonstrations against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4904,4904
409993,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-10,"On October 25, in Kobo town (Semien Wollo, Ethiopia), Amhara ethnic group activists staged demonstrations against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4903,4903
410052,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,"25 October. APC members from across Zamfara demonstrated in Gusau against Adams Oshiomhole, the National Chairman of the party. The protesters called for his removal over grievances of how the Zamfara elections were handled.",NIG13264,13264
410084,Protesters (Sudan),Students (Sudan),Gov(Sudan),NCP: National Congress Party,,2018-10,"On October 25th, students protested at Al Neelain University in Khartoum, in support of their fellow students at El Gezira University. NISS police, alongside student supporters of the NCP, broke up the protest, with police using tear gas, and beating the students with assorted objects.",SUD11561,11561
410102,Protesters (Nigeria),Students (Nigeria),,,,2018-10,"25 October. Students protested outside of the court in Kano to show their support for Governor Ganduje, who was caught taking a bribe from contractors.",NIG13263,13263
410173,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-10,"On October 25, in Alamata town (Debubawi, Tigray), Amhara ethnic group activists continued to stage demonstrations against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4902,4902
410205,Protesters (Kenya),Teachers (Kenya),Gov(Kenya),,,2018-10,"On or before October 24th, teachers gathered in Litein (Kericho) to protest the killing of a colleague in July, and specifically the lack of police response to the murder. The source mentions that the 'demonstration turned violent as police dispersed the teachers from the streets' (the demonstrators have been coded as protesters rather than rioters, since it is not specified whether they engaged in violent activity).",KEN6653,6653
410342,Protesters (Ethiopia),Amhara Ethnic Group (Ethiopia),,,,2018-10,"On October 24, in Alamata town (Debubawi, Tigray), Amhara ethnic group activists continued to stage demonstrations against the forceful takeover and remapping of their area boundaries by the Tigray region administrators.",ETH4897,4897
411103,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,23 October (on or before). APC supporters of Oshiomhole protested in front of the party secretariat. The demonstrators alleged that some APC leaders were undermining Oshimole's National Working Committee and Buhari's re-election bid.,NIG13254,13254
411243,Protesters (Kenya),Teachers (Kenya),,,,2018-10,"On or before October 22nd, teachers gathered in Mbita (Homa Bay) to protest the murder of a colleague on October 13th, and the failure of police to arrest any suspects.",KEN6651,6651
411416,Protesters (Nigeria),Government of Nigeria (2015-); Labour Group (Nigeria),Gov(Nigeria),,,2018-10,"22 October. NHIS employees demonstrated in front of their headquarters against the Executive Secretary, Usman Yusuf who disregarded his suspension and attempted to return to work. Police forces fired tear gas to disperse the protesters and allowed Yusuf to enter the NHIS building.",NIG13250,13250
411482,Protesters (Uganda),Students (Uganda),Gov(Uganda),,,2018-10,"On October 22nd, students protested at Kyambogo University (Kampala) over a decision by University management to increase a range of fees. Police used rubber bullets and tear gas to disperse the students.",UGA5222,5222
411552,Protesters (Uganda),NRM: National Resistance Movement,Gov(Uganda),,,2018-10,"On October 22nd, youth NRM supporters demonstrated in Lira over an apparent corruption case in the town. Police used teargas, and engaged in 'running battles' with the youth, dispersing the protest. 10 of the youth were arrested.",UGA5221,5221
412196,Protesters (Somalia),Gov(Somalia),,,,2018-10,20 October. Darawish security officers staged a demonstration because of non-payment of their salaries for two months.,SOM26942,26942
412471,Protesters (Somalia),Gov(Somalia),,,,2018-10,"On October 20, Puntland security forces closed a road that links to the office of region's president in Garowe town of Nugaal region demanding for payment of their unpaid salaries for seven months.",SOM26938,26938
412973,Protesters (Liberia),Women (Liberia),,,,2018-10,"On October 18th, protesters (who were mainly female) gathered in Monrovia to protest against alleged sexual abuse that took place in schools administered by the More Than Me charity.",LBR1355,1355
413045,Protesters (Angola),Labour Group (Angola),Gov(Angola),,,2018-10,"On Oct 18, police forces dispersed a demonstration by ex-workers of the former Special Cleaning Brigade (BEL) in Lunda.",ANG3222,3222
413149,Protesters (Nigeria),PDP: Peoples Democratic Party,,,,2018-10,18 October. PDP members protested at the Oshogbo High Court against the disbandment of the election petition tribunal.,NIG13235,13235
413181,Protesters (Nigeria),Students (Nigeria),,,,2018-10,18 October. Over 300 students protested in Lokoja against the states failure to release the results of educational exams.,NIG13241,13241
413470,Protesters (Democratic Republic of Congo),AJR: Association of Responsible Youth,Gov(DRC),,,2018-10,"15-17 October. The Association of Responsible Youth (AJR) protested against toll collection barriers set up by agents of the provincial executive on the roads of North Ubangi. On the third day, police dispersed the protest.",DRC12981,12981
413519,Protesters (Kenya),Students (Kenya),Gov(Kenya),,,2018-10,"On October 17th, students protested at the University of Machakos (Machakos), over a stipulation that they return to the University with their parents. The University closed indefinitely three weeks prior after student protests over an increase in fees. One person was arrested and later released.",KEN6644,6644
413679,Protesters (Sudan),Women (Sudan),,,,2018-10,"On October 17th, a protest organised by a women's campaign was staged in front of the Human Right Commission in Khartoum, over the detention and torture of the activists Asim Omar and Hisham Ali.",SUD11554,11554
414102,Protesters (Nigeria),Students (Nigeria),,,,2018-10,"16 October. Students of the Delta State University, Oleh campus protested against the decision to relocate the 100 level students in the engineering department to the main campus in Abraka.",NIG13228,13228
414314,Protesters (South Sudan),Private Security Forces (South Sudan),UNMISS: United Nations Mission in the Republic of South Sudan (2011-),,,2018-10,"On October 16th, security guards employed by Warrior Security (recently acquired by Insight) protested in Juba, over unpaid benefits, a desire for increased wages, and the terms of the new contracts soon to be introduced as a result of the takeover. The guards locked the gates to the UNMISS compound in Juba.",SSD5306,5306
414622,Protesters (Nigeria),PDP: Peoples Democratic Party,,,,2018-10,15 October (on or around). PDP supporters protested in Langtang North and South over the ruling that elections in the areas were inconclusive.,NIG13222,13222
414651,Protesters (Nigeria),Labour Group (Nigeria),,,,2018-10,15 October. Operators from the Clarion Bonded Terminal demonstrated against the government's customs office and officials for extortion and failing to pay operations costs.,NIG13226,13226
414700,Protesters (Uganda),Students (Uganda),,,,2018-10,"On or before October 15th, students from a local technical college stormed the Hoima district headquarters in protest at the substandard facilities and inadequate teaching, calling for the Principal to be removed.",UGA5212,5212
414753,Protesters (Algeria),Students (Algeria),,,,2018-10,"On Oct 15, students of the departments of electronics, mechanics and engineering at the Saad Dahlab Univerversity, in the Ouled Yaich area of Blida wilaya, launched a protest and a subsequent strike against the newly established electronic registration system for Masters degrees. A number of students failed to get into Masters programmes, reportedly because of the system.",ALG5503,5503
414817,Protesters (Nigeria),PDP: Peoples Democratic Party,,,,2018-10,15 October (on or around). PDP supporters protested in Langtang North and South over the ruling that elections in the areas were inconclusive.,NIG13223,13223
415228,Protesters (Sudan),Journalists (Sudan),Gov(Sudan),,,2018-10,"On October 14th, journalists protested outside the parliament building in Omdurman, over a journalist being prevented from entering the parliament. NISS dispersed the protest, and arrested 9 journalists.",SUD11547,11547
415793,Protesters (Kenya),Students (Kenya),,,,2018-10,"On 12 Oct 2018, students from the Mombasa branch of the University of Nairobi protested the killing of a UoN student and another man by a mob on 7 Oct. The student was lynched in an alleged case of mistaken identity.",KEN6637,6637
415984,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,12 October. APC members in Ojo protested against the selection of a candidate who had come in third in the popular election.,NIG13210,13210
416306,Protesters (Nigeria),PDP: Peoples Democratic Party,,,,2018-10,11 October. PDP members in Alagbaka protested over plans by the party to nullify the primary election results in Ondo.,NIG13205,13205
416309,Protesters (Nigeria),APGA: All Progressives Grand Alliance Party,,,,2018-10,"11 October. Members of the APGA, led by party aspirants, protested against the party's primary elections which the demonstrators viewed as corrupt. They also called for the resignation of Victor Oye, the national chairman of the party.",NIG13206,13206
417142,Protesters (Democratic Republic of Congo),Students (Democratic Republic of Congo),Gov(DRC),,,2018-10,"On 10 October 2018, students demonstrated at the town hall in Beni city (Beni, Nord-Kivu), demanding peace in the city. The police dispersed them by shooting live bullets. A 21 year-old boy was shot dead and 3 others were seriously injured. The same day, a teachers' union declared an unlimited strike until security returns to the region. [size=no report]",DRC14160,14160
417188,Protesters (Ethiopia),Gov(Ethiopia),,,,2018-10,10 October. Several hundred soldiers marched on the prime minister's office to demand pay rises. The PM met with them. Several arrested in the next days.,ETH4873,4873
417463,Protesters (Nigeria),Christian Group (Nigeria),,,,2018-10,"09 October. The Faithful, a religious coalition, demonstrated in Jos protesting the disappearance of the General in Du and justice for the bodies discovered in the Du pond.",NIG13196,13196
417903,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,"08 October. APC members from Kano, Niger, and Nasarawa states demonstrated in front of the APC secretariat to protest the primary election results.",NIG13194,13194
418158,Protesters (Democratic Republic of Congo),Women (Democratic Republic of Congo),,,,2018-10,08 October. Women gathered in the street of Beni to demand the return of peace in the municipality of Ruwenzori.,DRC12941,12941
418980,Protesters (Kenya),Students (Kenya),,,,2018-10,"On October 6th, students gathered at the University of Kabianga (Kericho county) to protest against the killing of a fellow student, who had been found with stab wounds earlier that day.",KEN6622,6622
419279,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,"05 October (on or around). APC members held demonstrations in Akure, Owo, and Ore to protest against automatic tickets for party candidates.",NIG13188,13188
419282,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,"05 October (on or around). APC members held demonstrations in Akure, Owo, and Ore to protest against automatic tickets for party candidates.",NIG13189,13189
419286,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,"05 October (on or around). APC members held demonstrations in Akure, Owo, and Ore to protest against automatic tickets for party candidates.",NIG13190,13190
419289,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,05 October. APC members demonstrated in front of President Buhari's campaign office to protest corruption and interference by political militias in the governorship primaries.,NIG13192,13192
420211,Protesters (Nigeria),APC: All Progressives Congress,Gov(Nigeria),,,2018-10,03 October. APC members demonstrated at the party secretariat in Abuja against direct primaries in the Federal Capital Territory. Police were deployed to the scene to restore security.,NIG13175,13175
420856,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,02 October. APC members protested on the Ali Akilu road in Kaduna against the APC's exclusion of Uba Sani from the parties cleared lists of senatorial candidates.,NIG13172,13172
421774,Protesters (Nigeria),APC: All Progressives Congress,,,,2018-10,01 October. APC members protested in front of the party's secretariat in Lagos. The demonstrators alleged that the party is unfairly favoring Babajide Sanwo-Olu for the governorship election.,NIG13168,13168
423689,Protesters (Central African Republic),Labour Group (Central African Republic),Gov(CAR),,,2018-09,27 September. Military prevented members of an organization of jobseekers to protest at the planned location in Bangui.,CEN4216,4216
424024,Protesters (Nigeria),PDP: Peoples Democratic Party,,,,2018-09,26 September. PDP members demonstrated in front of the PDP secretariat in Abuja over the automatic nomination given to Kogi East's senatorial incumbent. ,NIG13151,13151
424103,Protesters (Kenya),Students (Kenya),Gov(Kenya),,,2018-09,"From September 24th - 26th, students demonstrated against fee increases at the University of Machakos (Machokos). Police dispersed protesters with tear gas on Monday 24th; arrested a student leader on the 25th; and again dispersed protesters on the 26th (the source does not specify how). The University was indefinitely closed as of Sep 26th.",KEN6675,6675
424297,Protesters (Democratic Republic of Congo),Students (Democratic Republic of Congo),Gov(DRC),,,2018-09,"On 26 September 2018, students and activists hung photos of victims of the 24 September massacre that occurred on 30th June Avenue in Beni city (Beni, Nord-Kivu), and were dispersed by police using tear gas. 3 people were hit by bullets. [size=at least 3]",DRC18121,18121
424535,Protesters (Kenya),Students (Kenya),Gov(Kenya),,,2018-09,"From September 24th - 26th, students demonstrated against fee increases at the University of Machakos (Machokos). Police dispersed protesters with tear gas on Monday 24th; arrested a student leader on the 25th; and again dispersed protesters on the 26th (the source does not specify how). The University was indefinitely closed as of Sep 26th.",KEN6674,6674
424723,Protesters (Uganda),Refugees/IDPs (International),,,,2018-09,"On September 25th, refugees from the region gathered outside the headquarters of the UNHCR in Kampala, to protest against insecurity they have been facing in refugee camps.",UGA5198,5198
424982,Protesters (Nigeria),PDP: Peoples Democratic Party,,,,2018-09,24 September. Members of the PDP stormed the Independent National Electoral Commission headquarters in Osun to protest the commissions ruling that the elections were inconclusive. ,NIG13147,13147
