,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,mon_yr,notes,event_id_cnty,event_id_no_cnty
573176,Protesters (Nigeria),Students (Nigeria),,,Osun,2017-11,Students of Obafemi Awolowo University protested in Oshogbo over 'exploitation' by the school's management.,NIG11413,11413
574633,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Kano,2017-11,Police disperse a Shiite (Islamic Movement) protest in Kano. The protesters were calling for the release of their incarcerated leader. No violence reported.,NIG11379,11379
574706,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Anambra,2017-11,"Members of Indigenous People of Biafra (IPOB) took to major streets of Onitsha and its environs calling for boycott of an upcoming Anambra State governorship election. The group marched along major roads including Awka road, Old Market road, New Market road to Main Market, Oguta road and Upper Iweka to Owerri road vowing that there would be no election in the state or 'Biafra land' unless a referendum was held for the exit of Igbo people from Nigeria.",NIG11377,11377
577166,Protesters (Nigeria),Students (Nigeria),,,Akwa Ibom,2017-11,"Students of Akwa Ibom state origin studying in tertiary institutions embarked on a peaceful protest against the state governor, Udom Emmanuel, for allegedly 'refusing to show interest in their welfare.'",NIG11330,11330
578133,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2017-10,APC youth protest at their party's headquarters over alleged interparty corruption and called for the removal of a leader.,NIG11318,11318
579056,Protesters (Nigeria),Students (Nigeria),,,Rivers,2017-10,Students protest at the headquarters of Port Harcourt Electricity Distribution Company as well as the office of the governor after a school mate was electrocuted.,NIG11307,11307
583704,Protesters (Nigeria),Women (Nigeria),,,Plateau,2017-10,"A women's group protest insecurity in the area, particularly in regard to herdsman attacks.",NIG11220,11220
584265,Protesters (Nigeria),Gov(Nigeria),,,Kaduna,2017-10,Kaduna police officers protest non-payment of salaries.,NIG11203,11203
584275,Protesters (Nigeria),APC: All Progressives Congress,,,Enugu,2017-10,"The Enugu State chapter of the All Progressives Congress (APC) protested President Muhammadu Buhari's appointment of some indigenes of the state, describing it as corrupt and aimed at stifling the party.",NIG11208,11208
584458,Protesters (Nigeria),Students (Nigeria),,,Edo,2017-10,Students of Auchi Polytechnic staged a protest against the management for non-conduct of students' union election in the institution.,NIG11207,11207
585935,Protesters (Nigeria),Students (Nigeria),,,Ogun,2017-10,Students of Moshood Abiola Polytechnic protest at the office of the rector over the state of education in Ogun.,NIG11188,11188
588058,Protesters (Nigeria),Women (Nigeria),,,Delta,2017-09,"The women's wing of Isoko Development Union, IDU, protests against warring Igbide and Okpolo-Enwhe communities in Isoko South Local Government Area, Delta State, demanding an end to hostilities. The protest took place in Igbide.",NIG11171,11171
591590,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,Gov(Nigeria),,Abia,2017-09,"Two persons said to be members of IPOB, were reportedly shot dead by military forces along Bank Road in Umuahia, while another person sustained bullet injuries while coming out from the nearby branch of Zenith Bank. At the time of the attack the members of IPOB were participating in a protest against the military. No report of protester violence.",NIG11135,11135
595612,Protesters (Nigeria),Ijaw Ethnic Group (Nigeria),,,Bayelsa,2017-08,"A group of Ijaw youths staged a protest to the headquarters of the Nigerian Content Development and Monitoring Board (NCDMB) in Yenagoa, accusing it of operating 'without meaningful impact for the people of the Niger Delta region. '",NIG11076,11076
596104,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Bauchi,2017-08,A large pro-Buhari rally is held in Bauchi on 29/08.,NIG11064,11064
597706,Protesters (Nigeria),Farmers (Nigeria),,,Ondo,2017-08,"Farmers, mainly from Igoba community in Akure North protest against herdsmen's activates in the area. The farmers claimed the grazing was destroying their farmland.",NIG11042,11042
603943,Protesters (Nigeria),Women (Nigeria),,,Gombe,2017-08,A women's group protests a recent number of sexual assault cases in Gombe.,NIG10919,10919
604302,Protesters (Nigeria),Students (Nigeria),,,Anambra,2017-08,"500 students of the Anambra State Nwafor Orizu College of Education, Nsugbe took to the streets of Awka to protest alleged extortion by officials of the state government. The students sat on the road and refused to move for about an hour, preventing traffic on a major road.",NIG10916,10916
604621,Protesters (Nigeria),Itsekiri Ethnic Group (Nigeria),,,Delta,2017-08,Iteskiri indigenes protest against conformation of a traditional leader 'recently.',NIG10911,10911
604722,Protesters (Nigeria),Women (Nigeria),,,Lagos,2017-08,"No fewer than 300 women drawn from various communities in Ibeshe, Ikorodu area of Lagos State embarked on a peaceful protest to the palace of two royal fathers the Onibeshe of Ibeshe land Oba Richard Ogunsanya and the Ayangburen of Ikorodu Oba Kabiru Shotobi over recent killings by the suspected street gang called Badoo.",NIG10910,10910
605304,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Anambra,2017-07,Members of IPOB protest at a Ekwulobia church during a service while the Anambra governor was in attendance.,NIG10907,10907
606869,Protesters (Nigeria),Women (Nigeria),,,Kano,2017-07,A Kano women's group protests insecurity following a number of rape cases in the area.,NIG10893,10893
607816,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Rivers,2017-07,Members of IPOB protest at a Rivers State police station for the release of one of their members. The location was not named by the source. The release was granted.,NIG10873,10873
608867,Protesters (Nigeria),APC: All Progressives Congress,,,Lagos,2017-07,APC members protest in Mushin Local Government and Odi Olowo Local Council Development Area (LCDA) demanding the expulsion of their party's National Legal Adviser over allegations of embezzlement of campaign funds. The protest took place in Alausa.,NIG10857,10857
612551,Protesters (Nigeria),Students (Nigeria),,,Osun,2017-07,Students of Osun State University (UNIOSUN) in Osogbo protested the killing of a fellow student by suspected ritualists.,NIG10812,10812
614104,Protesters (Nigeria),APC: All Progressives Congress,,,Lagos,2017-06,Aggrieved members of the All Progressives Congress (APC) in Amuwo Odofin Local Government Area protested at the State Secretariat over the imposition of candidates. The protesters later went to a leader's office in Ikoyi and the state party secretariat to register similar complaints.,NIG10793,10793
614222,Protesters (Nigeria),APC: All Progressives Congress,,,Lagos,2017-06,Aggrieved members of the All Progressives Congress (APC) in Amuwo Odofin Local Government Area protested at the State Secretariat over the imposition of candidates. The protesters later went to a leader's office in Ikoyi and the state party secretariat to register similar complaints.,NIG10794,10794
614337,Protesters (Nigeria),APC: All Progressives Congress,,,Lagos,2017-06,"Amuwo-Odofin chairmanship aspirants of the APC (and their supporters) protest across the LGA over what they called 'unacceptable imposition' of consensus chairmanship candidate on residents of the council for the poll. The group protested the following day at the State Secretariat, Ikeja.",NIG10785,10785
618008,Protesters (Nigeria),Students (Nigeria),,,Ondo,2017-06,"Students of the Adeyemi College of Education (ACE) Ondo in Ondo State on 15/06, protested over a traffic accident involving three students of the institution on 11/06.",NIG10741,10741
618867,Protesters (Nigeria),APC: All Progressives Congress,Unidentified Armed Group (Nigeria),,Kogi,2017-06,"At least 3 killed and five injured when unknown gunmen attacked people at the Kogi State polytechnic gate, Lokoja where senator Dino Melaye (APC) was holding a protest against the state government. One of the attackers targeted the Senator, but failed. Later, the Senator blamed the State governor of being behind the attack, though those claims were not independently substantiated.",NIG10733,10733
620082,Protesters (Nigeria),Students (Nigeria),,,Federal Capital Territory,2017-06,"Students of Ladoke Akintola University of Technology (LAUTECH), Ogbomosho protested at the National Assembly over the closure of their institution for over nine months following an industrial dispute between staff of the institution and local governments.",NIG10716,10716
620664,Protesters (Nigeria),Women (Nigeria),,,Anambra,2017-06,"Over 50 pregnant women receiving prenatal and antenatal medical attention at the Amaku General Hospital Awka, Anambra State protested against increase in the cost of services at the state government-owned hospital.",NIG10707,10707
620916,Protesters (Nigeria),APC: All Progressives Congress,,,Kaduna,2017-06,Members of the All Progressives Congress (APC) in Kaduna State protested at the State House of Assembly against the party's failure to deliver on a political promise.,NIG10708,10708
621099,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2017-06,"Residents protest the planned removal of a tree considered sacred. On the same day, Students protest alleged government corruption for the second time in three days.",NIG10704,10704
621810,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2017-06,"Students protest alleged government corruption, particularly that of the governor.",NIG10701,10701
623084,Protesters (Nigeria),Students (Nigeria),,,Oyo,2017-05,"University of Ibadan students protest, alleging insensitivity on the part of the university management.",NIG10684,10684
623671,Protesters (Nigeria),APGA: All Progressives Grand Alliance Party,,,Anambra,2017-05,Youths of the All Progressives Grand Alliance (APGA) in Anambra State protest a court judgement against their party.,NIG10681,10681
624451,Protesters (Nigeria),Students (Nigeria),,,Osun,2017-05,"Students of the Ladoke Akintola University of Texhnology, LAUTECH, gathered in Osogbo protest the continued closure of the school and demand for the payment of about nine months salaries owed their lecturers.",NIG10669,10669
625186,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,,,Anambra,2017-05,MASSOB protested in Onitsha to mark the 17th anniversary of the call for the Republic of Biafra.,NIG10653,10653
625466,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Federal Capital Territory,2017-05,Police disperse El-Zakzaky IM protesters with tear gas and water cannons in Abuja. No reported violence from the protesters.,NIG10660,10660
625477,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,Gov(Nigeria),,Rivers,2017-05,Police dispersed a precession by Movement for the Actualisation of the Sovereign State of Biafra (MASSOB) at Government Craft Centre bus stop on Aba road in Port Harcourt. No reported violence from the demonstrators.,NIG10659,10659
626368,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Abia,2017-05,"Supporters of the Indigenous People of Biafra, IPOB, demonstrate in Abia to protest an alleged intimidation and molestation from the Nigerian soldiers.",NIG10645,10645
628872,Protesters (Nigeria),Students (Nigeria),,,Lagos,2017-05,"Final year students of the Lagos State Polytechnic (LASPOTECH) protested against the ongoing indefinite strike in the institution. The protesters, who chanted solidarity songs, marched to the Lagos State House of Assembly complex and the Governor's Office, Alausa.",NIG10612,10612
629173,Protesters (Nigeria),Journalists (Nigeria),,,Ogun,2017-05,"Staffs of Ogun State Broadcasting Corporation (OGBC), Abeokuta, Wednesday shut down the radio station over unpaid salary of workers. The workers who also staged a peaceful protest outside the broadcasting building.",NIG10607,10607
630221,Protesters (Nigeria),Christian Group (Nigeria),,,Kaduna,2017-05,A Christian group protests after it was suspered a member was killed by a Muslim group or individual.,NIG10589,10589
631489,Protesters (Nigeria),APC: All Progressives Congress,,,Benue,2017-05,"Members of All Progressives Congress (APC) in Agatu Local Government Area of Benue, staged protest rejecting Mrs Comfort Echoda as their candidate in the forthcoming local council election.",NIG10570,10570
634087,Protesters (Nigeria),Students (Nigeria),,,Kogi,2017-04,"Students of the University of Kogi protest, demanding that 'they want to go back to school' after a staff strike becomes too prolonged.",NIG10541,10541
634332,Protesters (Nigeria),CCN: Coalition of Concerned Nigerians; Journalists (Nigeria),Gov(Nigeria),,Federal Capital Territory,2017-04,A leader of the 'Concerned Nigerians' group is arrested during a protest for the release of a PDP on-line blogger.,NIG10540,10540
634765,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Abia,2017-04,"An IPOB children's group protest against the detention and subsequent 'secret trial' of Mazi Nnamdi Kanu, the leader of the separatist group.",NIG10523,10523
634898,Protesters (Nigeria),Women (Nigeria),,,Kogi,2017-04,"Hundreds of women staged a protest in solidarity with Senator Dino Melaye after an alleged assassination attempt on his life on 15/04. The protesters, who came from the seven local government areas in Kogi West Senatorial District, converged at the Aiyetoro Gbedde residence of Melaye and chanted anti-government songs.",NIG10524,10524
635064,Protesters (Nigeria),CCN: Coalition of Concerned Nigerians,Gov(Nigeria),,Federal Capital Territory,2017-04,"The leader of 'Concerned Nigerians' and several others are arrested at Unity Fountain during a protest against the federal government's insistence of a secret trial for the Biafran group leader, Nnamdi Kanu.",NIG10521,10521
635122,Protesters (Nigeria),APC: All Progressives Congress,,,Benue,2017-04,A group of aspiring APC politicians protest the office of the Deputy Governor to protest the party imposition of another.,NIG10519,10519
635199,Protesters (Nigeria),APC: All Progressives Congress,,,Benue,2017-04,"APC supporters protest an imposition of candidates following primaries in Benue in 'some parts of the state' with Gboko and Gburuku the 'hardest hit.' In Gburuku, the protesters blocked roads and attacked individuals who they believed were members of the party contrary to their view.",NIG10518,10518
637795,Protesters (Nigeria),Bring Back Our Girls Campaign,Gov(Nigeria),,Lagos,2017-04,"Marking the three year anniversary of the Chibok abduction, Bring Back our Girls protesters attempt to enter the government house at Alausa before being dispersed by police",NIG10484,10484
638349,Protesters (Nigeria),Students (Nigeria),,,Edo,2017-04,"Ex-militants on the Presidential Amnesty Programme, who are students at the Benson Idahosa University protested to Governor Godwin Obaseki over alleged non-payment of their allowances by the Federal Government.",NIG10476,10476
638373,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Federal Capital Territory,2017-04,"From a source dated 11/04, Members of the Islamic Movement of Nigeria hold a protest at Unity Fountain for the release of their leader El-Zakzaky 'since last week' - beginning date not clear. On 11/04 police dispersed the protesters with tear-gas, water cannons and dogs. Injuries not known. No reported violence from protesters.",NIG10475,10475
639480,Protesters (Nigeria),APC: All Progressives Congress,,,Rivers,2017-04,An APC faction disrupts a party meeting over 'unfulfilled promises' made by the leader of the party.,NIG10464,10464
639993,Protesters (Nigeria),APC: All Progressives Congress,,,Jigawa,2017-04,"On 06 April 2017, APC members protest in 'various local government areas' of Jigawa, including the capital after party leadership refused to follow the governor's direction. [size=no report].",NIG10458,10458
640313,Protesters (Nigeria),Students (Nigeria),,,Lagos,2017-04,Students of the University of Lagos (UNILAG) staged a peaceful protest at the Lagos State House of Assembly against alleged illegal rustication and detention of their colleagues by the police and university authorities following polices of 'high handedness' by school leadership.,NIG10448,10448
640831,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Anambra,2017-04,"Business activities, human and vehicular movements were disrupted in Nnewi, Anambra State when over 3,000 members of the Indigenous People of Biafra (IPOB) staged a protest against an alleged attempt to try their leader, Nnamdi Kanu in secret and under the Sharia law.",NIG10440,10440
640988,Protesters (Nigeria),APC: All Progressives Congress,NURTW: National Union of Road Transport Workers,,Oyo,2017-04,"Factions of the APC clash outside the state secretariat in Ibadan. The violence stemmed from a disagreement over an appointment in Akinyele Local Government Area of the state. Injury extent not known. Attempting to protest earlier in the day, one of the factions was stopped by the NURTW at Moniya. It was gathered that the NURTW members allegedly acted on the orders of state chairman, Alhaji Taofeek Oyerinde (Fele), to prevent them from holding their protest.",NIG10434,10434
642127,Protesters (Nigeria),Students (Nigeria),,,Abia,2017-03,"Students of the College of Management Sciences (COLMAS) of Michael Okpara University of Agriculture, Umudike in Abia, protested against the Federal Government's policy scrapping seven courses in the college.",NIG10419,10419
642754,Protesters (Nigeria),APC: All Progressives Congress,,,Rivers,2017-03,Supporters of President Muhammadu Buhari hold a solidarity rally in Port Harcourt on 28/03.,NIG10412,10412
643045,Protesters (Nigeria),APC: All Progressives Congress,,,Jigawa,2017-03,APC members protest against alleged enforcement of an unpopular candidate ahead of the local government election.,NIG10409,10409
643404,Protesters (Nigeria),Christian Group (Nigeria),,,Ondo,2017-03,Churchgoers protest the closure of their worship centre by local government.,NIG10403,10403
645127,Protesters (Nigeria),Students (Nigeria),,,Lagos,2017-03,"Hundreds of students of Lagos State University gathered at the Police Station at Igando to protest the death of a final year law student, who had recently been stabbed to death.",NIG10373,10373
645250,Protesters (Nigeria),Students (Nigeria),,,Nasarawa,2017-03,"Students of Government Science School, Lafia on Monday took to the streets to protest the killing of one of their colleagues, allegedly by a family member of a senior government official.",NIG10377,10377
645667,Protesters (Nigeria),Students (Nigeria),,,Benue,2017-03,Students of the University of Mukurdi protest following the death of a geography student. The protesters demanded authorities find and arrest the perpetrator.,NIG10372,10372
648413,Protesters (Nigeria),Igbo Ethnic Group (Nigeria),,,Federal Capital Territory,2017-03,"On 10 March 2017, an Igbo family of six traders who were killed in Abuja in June 2005 protested at the office of the Attorney General of the Federation and Minister of Justice to register their displeasure over the judgment of an Abuja High Court which sentenced to death two out of the six police officers who were charged for complicity in the killings. [size=no report].",NIG10334,10334
650175,Protesters (Nigeria),Women (Nigeria),,,Borno,2017-03,Thousands of Nigerian women pushed from their homes by Boko Haram held a protest on 05/03 to demand better conditions as UN Security Council envoys visited their camp,NIG10310,10310
653444,Protesters (Nigeria),Students (Nigeria),,,Kwara,2017-02,Kwara students protest unpaid bursary allowance in Ilorin on 23/02.,NIG10269,10269
654264,Protesters (Nigeria),Students (Nigeria),,,Edo,2017-02,"Students of Ambrose Alli University, Ekpoma protest a departmental levy. The protest was quickly ended by the group's internal conflict.",NIG10261,10261
655735,Protesters (Nigeria),Women (Nigeria),,,Kano,2017-02,A women's group protest at the government house in Kano over a spate of abductions of teenagers in the State.,NIG10248,10248
658799,Protesters (Nigeria),Students (Nigeria),,,Ogun,2017-02,"Hundreds of students of the Tai Solarin University of Education (TASUED), Ijagun, Ogun State protested against 'exorbitant' charges by the school management.",NIG10193,10193
660345,Protesters (Nigeria),APC: All Progressives Congress,,,Ondo,2017-02,Members of the Ondo State chapter of the All Progressives Congress (APC) protest against the state governor over budget proposals. The protest began on 29/01 and continued throughout the week. The protest became violent on 02/02.,NIG10168,10168
660731,Protesters (Nigeria),APC: All Progressives Congress,,,Ondo,2017-01,Members of the Ondo State chapter of the All Progressives Congress (APC) protest against the state governor over budget proposals. The protest began on 29/01 and continued throughout the week. The protest became violent on 02/02.,NIG10158,10158
661002,Protesters (Nigeria),APC: All Progressives Congress,,,Ondo,2017-01,Members of the Ondo State chapter of the All Progressives Congress (APC) protest against the state governor over budget proposals. The protest began on 29/01 and continued throughout the week. The protest became violent on 02/02.,NIG10154,10154
661351,Protesters (Nigeria),APC: All Progressives Congress,,,Ondo,2017-01,Members of the Ondo State chapter of the All Progressives Congress (APC) protest against the state governor over budget proposals. The protest began on 29/01 and continued throughout the week. The protest became violent on 02/02.,NIG10149,10149
661945,Protesters (Nigeria),APC: All Progressives Congress,,,Kogi,2017-01,Kogi State chapter of the All Progressives Congress (APC) protest against the activities of Sen.Dino Melaye and Rep. Abiodun Faleke for 'working against the interest of the party. ',NIG10138,10138
662520,Protesters (Nigeria),Students (Nigeria),,,Rivers,2017-01,"Rivers State School of Nursing students protest over dilapidated condition of infrastructure of their schools. The protest occurred 'last week', source dated 31/01.",NIG10135,10135
664139,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,Gov(Nigeria),,Rivers,2017-01,Police reportedly dispersed a pro-US President Trump demonstration led by the IPOB. 65 arrests reported. Reports of 11 protesters killed.,NIG10098,10098
666850,Protesters (Nigeria),Igbo Ethnic Group (Nigeria),,,Enugu,2017-01,Igbo youths protest in Enugu to demand police apologise for raiding the Abuja home of the former first lady several months ago.,NIG10051,10051
669951,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2017-01,PDP staff protest a seven month long shut out of their headquarters at Wadata Plaza.,NIG9990,9990
673436,Protesters (Nigeria),Students (Nigeria),,,Kaduna,2016-12,"Students demonstrate against the demolition of the Madrasatul Imamis-Sadiq for Islamic Studies, a 35 year-old school located at Wakill Road, Sabon Gari Nasarawa, in Kaduna South local government area.",NIG9922,9922
673501,Protesters (Nigeria),APC: All Progressives Congress,,,Rivers,2016-12,"Supporters of the All Progressives Congress party, APC, in Rivers demonstrate in Port Harcourt, protesting what they termed killings of their members, harassment and blackmailing of the security agencies by the Rivers state Governor, Nyesom Wike and the Peoples Democratic Party, PDP, particularly during a recent election. The protest was led by Rivers State Governor, Nyesom Wike.",NIG9926,9926
673831,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2016-12,Members of the Nigerian national women's football team hold a sign carrying protest at the National Assembly over unpaid salaries on 14/12.,NIG9911,9911
674855,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2016-12,The Nigerian national women's football team fold a six-day sit-in protest over pay at a Abuja hotel.,NIG9889,9889
674969,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2016-12,The Nigerian national women's football team fold a six-day sit-in protest over pay at a Abuja hotel.,NIG9887,9887
675151,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2016-12,The Nigerian national women's football team fold a six-day sit-in protest over pay at a Abuja hotel.,NIG9882,9882
675270,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2016-12,Protest at the National Assembly against harassment of former President Goodluck Jonathans family members by the Department of State Services (DSS) and Economic and Financial Crimes Commission (EFCC) over alleged charges of corruption. The Nigerian women's football team continue their occupation of an Abuja hotel to protest unpaid wages,NIG9880,9880
675512,Protesters (Nigeria),Students (Nigeria),,,Ebonyi,2016-12,Youths protest alleged extortion in a government student stipend programme.,NIG9879,9879
675738,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2016-12,The Nigerian national women's football team fold a six-day sit-in protest over pay at a Abuja hotel.,NIG9876,9876
676506,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2016-11,"Members of the opposition Peoples Democratic Party, PDP, in the Nigerian Senate have staged a protest walk out from the chamber, following uproar that trailed the defection of Yele Omogunwa to the ruling All Progressives Congress.",NIG9871,9871
676932,Protesters (Nigeria),Gov(Nigeria),,,Ondo,2016-11,Police protest non-payment of their allowances in the Funbi-Fagun area of Ondo town.,NIG9864,9864
679944,Protesters (Nigeria),Students (Nigeria),,,Akwa Ibom,2016-11,The students of Akwa Ibom Polytechnic protested against an increment of fees by the schools authority.,NIG9798,9798
682114,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Abia,2016-11,PDP supporters of Osisioma Ngwa Local Government Area of Abia State protested attempts by party leadership to conduct a second ward of primaries.,NIG9763,9763
682898,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Ondo,2016-10,PDP supporters continue a ballot protest in Akure. It is not known if the protest was violent.,NIG9747,9747
687025,Protesters (Nigeria),Labour Group (Nigeria),Gov(Nigeria),,Ondo,2016-10,"Federal University of Technology workers protest against the actions of their Vice Chancellor, block roads. The police later dispersed the group.",NIG9683,9683
687308,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Edo,2016-10,PDP supporters again protest an election result in Benin City.,NIG9680,9680
687933,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2016-10,"Youths believed to be loyalists of the National Chairman of the All Progressives Congress (APC), Chief John Odigie-Oyegun protested against national leader of the party Asiwaju Bola Ahmed Tinubu. The protest took place at the national secretariat of the APC in Abuja.",NIG9667,9667
688142,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Edo,2016-10,PDP supporters protest Edo governorship poll result in Benin City.,NIG9665,9665
688926,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Edo,2016-09,Supporters of the PDP protest a court ruling which declared a rival APC candidate an election winner.,NIG9650,9650
689324,Protesters (Nigeria),Students (Nigeria),,,Delta,2016-09,Students parents protest after exam results were not released on schedule.,NIG9640,9640
690372,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Federal Capital Territory,2016-09,"Members of the Islamic Movement of Nigeria, IMN, protested in the streets of Abuja, demanding the immediate release of their leader, Sheik Ibraheem El-Zakzaky, who has been by the military since last year December. Police used teargas to disperse the group.",NIG9628,9628
691674,Protesters (Nigeria),Students (Nigeria),,,Edo,2016-09,"Parents of students of the Federal Government Girls College, Benin City, Edo State, staged a peaceful protest over school fees hike.",NIG9612,9612
691857,Protesters (Nigeria),APC: All Progressives Congress,,,Ondo,2016-09,APC youths protest over an alleged plan to tamper with a primary election result. Exact date of the protest not clear.,NIG9610,9610
692972,Protesters (Nigeria),Women (Nigeria),,,Ebonyi,2016-09,"No fewer than 3,000 Ishiagu women on 09/09 staged a peaceful protest against the destruction of farm crops by herdsmen to the Palace of the traditional ruler of the community.",NIG9582,9582
693701,Protesters (Nigeria),Students (Nigeria),,,Edo,2016-09,"Students protest at a Benin City government house after they learned an upcoming emanation coincided with an election date. The students, believing this would disenfranchise their vote, wanted the exam moved.",NIG9569,9569
694370,Protesters (Nigeria),Women (Nigeria),,,Akwa Ibom,2016-09,Women of Ikot Umoessiem community at the weekend embarked on a peaceful protest to express their dismay over incessant destruction of their crops and farmland by herdsmen.,NIG9565,9565
694836,Protesters (Nigeria),Labour Group (Nigeria),,,Kaduna,2016-09,"Food vendors angered by Kaduna state government from Rigasa ward in Igabi Local Government Area, under the free school feeding programme staged a peaceful protest, alleging that they have been unofficially replaced by officials of the LG Council.",NIG9557,9557
694991,Protesters (Nigeria),Students (Nigeria),,,Lagos,2016-08,Members of the suspended University of Lagos Student Union (ULSU) executive Wednesday protested what they described as an 'unjust rustication' of the union members. The protest took place at the schools senate building.,NIG9554,9554
695577,Protesters (Nigeria),Students (Nigeria),,,Lagos,2016-08,Lagos State university students protest at the office of the governor over non-accreditation of medical and dental programmes in the institution.,NIG9546,9546
696554,Protesters (Nigeria),Students (Nigeria),,,Benue,2016-08,Students of Students of Fidei Polytechnic in Gboko area protest for unknown reason.,NIG9530,9530
697397,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Ogun,2016-08,A student is shot and killed by police during a otherwise peaceful demonstration against insecurity in the area. The protest was reportedly violent the previous day.,NIG9517,9517
697843,Protesters (Nigeria),Farmers (Nigeria),,,Rivers,2016-08,The over 200 farmers marched to the Ogba/Egbema/Ndoni Local Government Council headquarters to register their complaints on the destruction of their farm crops by suspected herdsmen.,NIG9512,9512
697975,Protesters (Nigeria),APC: All Progressives Congress,,,Ondo,2016-08,Ondo State APC members protest an alleged imposition of a governorship candidate by a national leader of the party.,NIG9510,9510
700764,Protesters (Nigeria),Shiite Muslim Group (Nigeria),,,Kaduna,2016-08,Shiites protest for the release of Sheikh Ibrahim El-Zakzaky in Kaduna.,NIG9474,9474
700852,Protesters (Nigeria),Igbo Ethnic Group (Nigeria),,,Kano,2016-08,Igbos continue their protest following the murder of a trader in Kano.,NIG9475,9475
700977,Protesters (Nigeria),Women (Nigeria),,,Kaduna,2016-08,A group of woman protest insecurity in Ninte village.,NIG9471,9471
701834,Protesters (Nigeria),Igbo Ethnic Group (Nigeria),,,Kano,2016-07,Igbo youths in Kano staged a protest over the murder of a trader at the hands of police. The man was killed on 27/07.,NIG9461,9461
702907,Protesters (Nigeria),Labour Group (Nigeria),,,Ondo,2016-07,"Learning and other educational activities were on disrupted at the St Francis Caring Heart Mega School, Owaluwa in Owo local government area of Ondo State following a peaceful protest staged by non-teaching staff of the school over non-payment of their 13 months salaries.",NIG9440,9440
704385,Protesters (Nigeria),Students (Nigeria),,,Bayelsa,2016-07,"Students of the state owned Niger Delta University, NDU, protested against the prolonged strike by the varsity chapter of Academic Staff Union of Universities.",NIG9429,9429
704740,Protesters (Nigeria),APC: All Progressives Congress,,,Rivers,2016-07,"Rivers State chapter of the All Progressives Congress (APC) led hundreds of protesters who temporarily took over the complexes of the state High Court complex and House of Assembly complex, Port Harcourt after two elected APC members were not sworn-in as scheduled.",NIG9420,9420
706073,Protesters (Nigeria),Women (Nigeria),,,Imo,2016-07,"Owerri women trooped out in their hundreds to protest the decision of the state government to relocate the Ekeukwu Owerri Market. The women, who were all clad in traditional mourning clothes had, as early as 8:00a.m assembled at Ekeukwu Owerri, along Douglas Road, from where they marched to Okigwe Road and sang solidarity songs. The protest began the previous day.",NIG9403,9403
706271,Protesters (Nigeria),Women (Nigeria),,,Delta,2016-07,Hundreds of aggrieved women from Gbaramatu Kingdom in Warri South West Local Government Area of Delta State protested the arrest and continued detention of 10 of their youths by the military for their alleged involvement in the bombings of oil facilities by the Niger Delta Avengers (NDA).,NIG9400,9400
706274,Protesters (Nigeria),Students (Nigeria),,,Kogi,2016-07,The students of the Kogi State University protest over a three-month closure of their school due to a strike. The protest lasted for two days.,NIG9398,9398
706900,Protesters (Nigeria),Labour Group (Nigeria),,,Ekiti,2016-07,"The various industrial unions in Ekiti State University, Ado Ekiti (EKSU) paralysed activities in the school to protest over salary. The aggrieved staff prevented vehicular and human movement in and out of the institution as they locked its two gates.",NIG9389,9389
