"","act_nopo"
"1149","FESCI: Student Federation of Ivory Coast; GPP: Patriotic Group for Peace; UPLTCI: Union of Patriots for Total Liberty"
"1150","Local Defence Unit"
"1151","FROLINA: National Liberation Front"
"1152","MJP: Movement for Justice and Peace"
"1153","Pastoralists (Uganda)"
"1154","Mercenaries (Nigeria)"
"1155","Moran Ethnic Militia (Kenya)"
"1156","Kamajor Militia"
"1157","Labour Group (Niger)"
"1158","Amhara Ethnic Group (Ethiopia)"
"1159","Farmers (Chad)"
"1160","Tuareg Ethnic Group (Burkina Faso)"
"1161","ALC: Congo Liberation Army"
"1162","Health Workers (Democratic Republic of Congo); Catholic Christian Group (Democratic Republic of Congo)"
"1163","Dandume Communal Militia (Nigeria)"
"1164","Christian Group (Democratic Republic of Congo); Pastoralists (Democratic Republic of Congo)"
"1165","RED-TABARA: Resistance to the Rule of Law in Burundi; CNRD: National Council for Renewal and Democracy"
"1166","Fulani Ethnic Group (Mali); Pastoralists (Mali)"
"1167","Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria)"
"1168","Tuareg Ethnic Group (Burkina Faso); Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)"
"1169","Taxi Drivers (Somalia)"
"1170","Civilians (China)"
"1171","Farmers (Democratic Republic of Congo)"
"1172","Refugees/IDPs (Burkina Faso)"
"1173","Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)"
"1174","Labour Group (Democratic Republic of Congo); Health Workers (Democratic Republic of Congo)"
"1175","Hutu Ethnic Group (Democratic Republic of Congo)"
"1176","Bul Clan Group (South Sudan); Nuer Ethnic Group (South Sudan); Pastoralists (South Sudan)"
"1177","Refugees/IDPs (Mozambique)"
"1178","Fulani Ethnic Group (Burkina Faso); Gourmantche Ethnic Group (Burkina Faso); Mossi Ethnic Group (Burkina Faso)"
"1179","Mozogo Communal Militia (Cameroon)"
"1180","Refugees/IDPs (Cameroon)"
"1181","Bor Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Pastoralists (South Sudan); Christian Group (South Sudan)"
"1182","Atok-Rek Sub-Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Pastoralists (South Sudan)"
"1183","Sara Ethnic Group (Central African Republic); Rounga Ethnic Group (Central African Republic)"
"1184","Farmers (Sudan); Refugees/IDPs (Sudan)"
"1185","Women (Democratic Republic of Congo); Pastoralists (Democratic Republic of Congo); Babembe Ethnic Group (Democratic Republic of Congo); Bafuliru Ethnic Group (Democratic Republic of Congo); Banyindu Ethnic Group (Democratic Republic of Congo)"
"1186","Hema Ethnic Group (Democratic Republic of Congo); Pastoralists (Democratic Republic of Congo)"
"1187","Murle Ethnic Group (South Sudan)"
"1188","CMC-FNLD: Collective Movement for Change-Front for National Liberation and Democracy; Mayi Mayi Militia (Kabido)"
"1189","Fulani Ethnic Group (Burkina Faso); Tuareg Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso)"
"1190","Kuei-Agar Clan Militia (South Sudan); Pakam-Agar Clan Militia (South Sudan); Athoi-Gony-Agar Sub-Clan Militia (South Sudan); Pacuor-Agar Sub-Clan Militia (South Sudan); Aliamtoc-Dhiei-Agar Sub-Clan Militia (South Sudan); Dinka Ethnic Militia (South Sudan)"
"1191","Bor Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Pastoralists (South Sudan); Women (South Sudan)"
"1192","Refugees/IDPs (Sudan); Women (Sudan)"
"1193","Zowo Communal Group (Nigeria)"
"1194","Fulani Ethnic Group (Mali); Tuareg Ethnic Group (Mali); Pastoralists (Mali)"
"1195","Women (Democratic Republic of Congo); Hema Ethnic Group (Democratic Republic of Congo)"
"1196","Christian Group (Democratic Republic of Congo)"
"1197","Nuer Ethnic Militia (South Sudan); Pastoralists (South Sudan)"
"1198","Fulani Ethnic Group (Burkina Faso); Gourmantche Ethnic Group (Burkina Faso); Mossi Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso); Labour Group (Burkina Faso)"
"1199","Civilians (International); Migrants (Bangladesh); Migrants (International)"
"1200","Dogon Ethnic Group (Mali)"
"1201","Dok Clan Group (South Sudan); Nuer Ethnic Group (South Sudan)"
"1202","Apuk-Rek Clan Ethnic Militia (South Sudan); Dinka Ethnic Group (South Sudan)"
"1203","Prisoners (Burkina Faso)"
"1204","Civilians (Sudan); Civilians (Libya); Miners (Chad); Miners (Sudan); Miners (Libya)"
"1205","Women (Democratic Republic of Congo); Batwa Ethnic Group (Democratic Republic of Congo)"
"1206","Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso); Muslim Group (Burkina Faso); Prisoners (Burkina Faso)"
"1207","Pastoralists (Niger)"
"1208","Students (South Sudan)"
"1209","Misseriya Ethnic Group (Sudan); Pastoralists (Sudan)"
"1210","MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-); Ronga Ethnic Group (Central African Republic)"
"1211","Buni Gari Communal Militia"
"1212","Labour Group (Mozambique); Fishermen (Mozambique)"
"1213","Private Security Forces (Sudan); Private Security Forces (Chad)"
"1214","Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso); Prisoners (Burkina Faso)"
"1215","Fulani Ethnic Group (Niger); Tuareg Ethnic Group (Niger); Dawsahak Ethnic Group (Niger); Pastoralists (Niger); Prisoners (Niger)"
"1216","Fulani Ethnic Group (Niger); Pastoralists (Niger); Prisoners (Niger)"
"1217","Prisoners (Egypt)"
"1218","Muslim Group (Burkina Faso)"
"1219","Omoro Ethnic Group (Ethiopia)"
"1220","Panyar-Gok Sub-Clan Militia (South Sudan); Dinka Ethnic Group (South Sudan)"
"1221","Fulani Ethnic Group (Burkina Faso); Muslim Group (Burkina Faso); Pastoralists (Burkina Faso)"
"1222","Dawsahak Ethnic Group (Mali)"
"1223","Christian Group (Burkina Faso); Muslim Group (Burkina Faso)"
"1224","Labour Group (Somalia)"
"1225","Tuareg Ethnic Group (Mali); Imghad Ethnic Group (Mali); Imouchag Ethnic Group (Mali)"
"1226","Prisoners (Mali); Fulani Ethnic Group (Mali); Pastoralists (Mali)"
"1227","Health Workers (Burkina Faso)"
"1228","Women (Democratic Republic of Congo)"
"1229","Mossi Ethnic Group (Burkina Faso); Foulse Ethnic Group (Burkina Faso)"
"1230","Aid Workers (Cameroon)"
"1231","Labour Group (Nigeria)"
"1232","FDLR-FOCA: Democratic Forces for the Liberation of Rwanda- Forces fighting Abacunguzi"
"1233","Ngok Clan Dinka Ethnic Group (Sudan)"
"1234","SLF: Sudan Liberation Forces; JEM: Justice and Equality Movement"
"1235","Students (Burkina Faso); Labour Group (Burkina Faso)"
"1236","APC: All Progressives Congress; Muslim Group (Nigeria)"
"1237","Masalit Ethnic Group (Sudan); Refugees/IDPs (Sudan)"
"1238","Civilians (Somalia); Students (Somalia); Labour Group (Turkey)"
"1239","Women (Burkina Faso); Refugees/IDPs (Burkina Faso)"
"1240","Fisherman (Cameroon)"
"1241","Fishermen (Chad)"
"1242","Christian Group (Burkina Faso)"
"1243","Tabu Ethnic Group (Libya)"
"1244","Hir-Shabelle Sub-Clan Group (Somalia)"
"1245","Nyatura-FDLR Coalition: Nyatura -Democratic Forces for the Liberation of Rwanda"
"1246","IOM: International Organisation for Migration"
"1247","Bab al-Tajoura Brigade"
"1248","Muslim Group (Burkina Faso); Songhai Ethnic Group (Burkina Faso)"
"1249","Labour Group (Burkina Faso)"
"1250","SPF: Sirte Protection Force"
"1251","Prisoners (Libya)"
"1252","Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso); Refugees/IDPs (Burkina Faso)"
"1253","Misseriya Ethnic Group (Sudan); Civilians (South Sudan); Nuer Ethnic Group (South Sudan)"
"1254","Ghaniwa Brigade"
"1255","Gajaak-Eastern Jikany Sub-Clan Militia (South Sudan); Nuer Ethnic Group (South Sudan)"
"1256","Pastoralists (Cameroon); Mbororo Ethnic Group (Cameroon)"
"1257","Refugees/IDPs (International)"
"1258","Dogon Ethnic Group (Mali); Christian Group (Mali)"
"1259","Tiv Ethnic Group (Nigeria)"
"1260","Fishermen (Democratic Republic of Congo)"
"1261","Gumuz Ethnic Group (Ethiopia)"
"1262","Pastoralists (Burkina Faso)"
"1263","Refugees/IDPs (South Sudan); Luo Ethnic Group (South Sudan)"
"1264","Women (Nigeria)"
"1265","Farmers (Somalia)"
"1266","Mayi Mayi Militia (Nyatura-Kavumbi); Mayi Mayi Militia (Nyatura); APCLS-M: Alliance of Patriots for a Free and Sovereign Congo (Mapenzi)"
"1267","Civilian JTF: Civilian Joint Task Force; Muslim Group (Nigeria)"
"1268","Fishermen (South Sudan)"
"1269","Mayi Mayi Militia (Kijangala)"
"1270","Lou Nuer Ethnic Group (South Sudan)"
"1271","Bul Nuer Ethnic Group (South Sudan)"
"1272","Kambata Ethnic Group (Ethiopia)"
"1273","Foulse Ethnic Group (Burkina Faso)"
"1274","Journalists (Somalia)"
"1275","Banunu Ethnic Group (Democratic Republic of Congo); Women (Democratic Republic of Congo); Men (Democratic Republic of Congo)"
"1276","Fulani Ethnic Group (Mali)"
"1277","Bedouin Ethnic Group (Egypt)"
"1278","Muslim Group (Central African Republic)"
"1279","Refugees/IDPs (Central African Republic); Christian Group (Central African Republic)"
"1280","Refugees/IDPs (Central African Republic)"
"1281","Borno Communal Militia (Nigeria)"
"1282","FACT: Front for Alteration and Harmony in Chad"
"1283","Tuareg Ethnic Group (Mali)"
"1284","Meskan Ethnic Militia (Ethiopia)"
"1285","Nawasi Brigade; Infantry Brigade 301; Bab al-Tajoura Brigade; Ghaniwa Brigade"
"1286","Banda Ethnic Group (Central African Republic); Labour Group (Central African Republic)"
"1287","Fulani Ethnic Group (Nigeria); Hausa Ethnic Group (Nigeria)"
"1288","Kongor Communal Group (South Sudan); Lou Nuer Ethnic Group (South Sudan)"
"1289","Students (Niger); Teachers (Niger)"
"1290","Burji Ethnic Militia (Ethiopia)"
"1291","Fulani Ethnic Group (Niger)"
"1292","Refugees/IDPs (South Sudan); Students (South Sudan); Women (South Sudan)"
"1293","Government of Libya (2016-) Government of National Accord; HNEC: High National Election Commission"
"1294","Imghad Ethnic Group (Mali)"
"1295","Idoma Ethnic Group (Nigeria)"
"1296","Katiba Salaheddine"
"1297","Refugees/IDPs (Somalia)"
"1298","Bachama Ethnic Group (Nigeria)"
"1299","Coptic Christian Group (Egypt)"
"1300","Aid Workers (International)"
"1301","Aid Workers (Central African Republic)"
"1302","Bor Clan Dinka Ethnic Militia (South Sudan); Aid Workers (South Sudan)"
"1303","Oromo Ethnic Group (Ethiopia); Somali Ethnic Group (Ethiopia)"
"1304","Sufi Group (Egypt)"
"1305","NASA: National Super Alliance"
"1306","Wershefana Communal Group (Libya)"
"1307","Women (South Sudan)"
"1308","Igbo Ethnic Group (Nigeria)"
"1309","Fulani Ethnic Group (Ghana); Pastoralists (Ghana)"
"1310","Refugees/IDPs (Nigeria)"
"1311","Catholic Christian Group (Nigeria)"
"1312","Abu Salim Brigade"
"1313","Women (Sudan)"
"1314","Rup Clan Dinka Ethnic Group (South Sudan)"
"1315","Bambara Ethnic Group (Mali)"
"1316","Christian Group (Democratic Republic of Congo); Women (Democratic Republic of Congo)"
"1317","SLM/A-Transitional Council: Sudan Liberation Movement/Army (Transitional Council Faction)"
"1318","Luba Ethnic Group (Democratic Republic of Congo); Lulua Ethnic Group (Democratic Republic of Congo)"
"1319","Luba Ethnic Group (Democratic Republic of Congo); Lulua Ethnic Group (Democratic Republic of Congo); Health Workers (Democratic Republic of Congo)"
"1320","Lele Clan Kuba Ethnic Group (Democratic Republic of Congo); Bindji Clan Luba Ethnic Group (Democratic Republic of Congo)"
"1321","Lou Nuer Ethnic Group (South Sudan); Fertit Ethnic Group (South Sudan); Aid Workers (South Sudan); WFP: World Food Programme"
"1322","Hamar Ethnic Group (Sudan)"
"1323","Migrants (International)"
"1324","Teachers (South Sudan); Students (South Sudan); Aid Workers (South Sudan); Christian Group (South Sudan)"
"1325","Refugees/IDPs (Nigeria); ICRC: International Committee of the Red Cross and Red Crescent; Aid Workers (Nigeria)"
"1326","Hawadle Clan Group (Somalia)"
"1327","Students (Somalia)"
"1328","Anuak Ethnic Group (Ethiopia)"
"1329","Aid Workers (International); UN: United Nations"
"1330","Christian Group (Kenya)"
"1331","Toposa Ethnic Group (South Sudan); Dinka Ethnic Group (South Sudan)"
"1332","Government of South Sudan (2011-)"
"1333","Prisoners (Ethiopia)"
"1334","Government of South Sudan (2011-); Private Security Forces (South Sudan)"
"1335","Dinka Ethnic Group (South Sudan); Kakwa Ethnic Group (South Sudan)"
"1336","Silte Ethnic Militia (Ethiopia)"
"1337","Bor Clan Dinka Ethnic Group (South Sudan)"
"1338","Konso Ethnic Group (Ethiopia)"
"1339","Farmers (South Sudan)"
"1340","Fertit Ethnic Group (South Sudan)"
"1341","Civilians (Chad); Civilians (Nigeria)"
"1342","Hawadle-Hawiye Sub-Clan Militia (Somalia)"
"1343","Brega Communal Militia (Libya)"
"1344","Ajilat Communal Militia (Libya)"
"1345","Refugees/IDPs (South Sudan); UNMISS: United Nations Mission in the Republic of South Sudan (2011-); MSF: Doctors Without Borders"
"1346","MSF: Doctors Without Borders; Women (South Sudan); Aid Workers (South Sudan)"
"1347","Rioters (Madagascar); Vigilante Group (Madagascar)"
"1348","USN: Union for National Salvation"
"1349","Shiite Muslim Group (Nigeria)"
"1350","ISIL: Islamic State of Iraq and Levant"
"1351","Anuak Ethnic Group (South Sudan)"
"1352","Hawazmah Ethnic Group (Sudan); Misseriya Ethnic Group (Sudan); Fur Ethnic Group (Sudan)"
"1353","Misseriya Ethnic Group (Sudan); Dinka Ngok Ethnic Group (Sudan)"
"1354","Civilians (Russia)"
"1355","Al-Falata Ethnic Group (Sudan)"
"1356","Nuer Ethnic Group (South Sudan); Aid Workers (South Sudan)"
"1357","Refugees/IDPs (Chad)"
"1358","Civilians (Mexico); Civilians (Egypt)"
"1359","MSF: Doctors Without Borders; Aid Workers (South Sudan)"
"1360","Mbororo Ethnic Group (Central African Republic)"
"1361","Firjan Ethnic Militia (Libya); Health Workers (Libya)"
"1362","ONLA: Ogaden National Liberation Army"
"1363","Students (Somalia); Teachers (Somalia); Muslim Group (Somalia)"
"1364","Teachers (Nigeria); Students (Nigeria)"
"1365","Rizaygat Ethnic Group (Sudan)"
"1366","Muslim Group (Sudan)"
"1367","Moru Ethnic Militia (South Sudan)"
"1368","Militia (Gabriel Tang); SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition"
"1369","Dok Nuer Ethnic Militia (South Sudan)"
"1370","Pokot Ethnic Group (Kenya)"
"1371","Egbas Ethnic Group (Nigeria)"
"1372","Christian Group (Ethiopia)"
"1373","Prisoners (Sudan)"
"1374","Students (Kenya)"
"1375","WFP: World Food Programme"
"1376","Berti Ethnic Group (Sudan)"
"1377","Mundari Ethnic Group (South Sudan)"
"1378","Kuei Ethnic Militia (South Sudan); Dinka Nyang Ethnic Militia (South Sudan)"
"1379","Students (Central African Republic)"
"1380","Shuwa Ethnic Group (Nigeria)"
"1381","Ultras White Knights"
"1382","Journalists (South Sudan)"
"1383","Kilba-Higgi Ethnic Group (Nigeria)"
"1384","Al-Sawaiq Battalion"
"1385","Koro Ethnic Group (Nigeria); Women (Nigeria)"
"1386","Muslim Group (Sudan); Teachers (Sudan)"
"1387","Teachers (Kenya)"
"1388","Students (Nigeria)"
"1389","Christian Group (South Sudan); Nuer Ethnic Group (South Sudan); Women (South Sudan)"
"1390","Government of Nigeria (1999-2015)"
"1391","Aid Workers (Somalia)"
"1392","Eggon Ethnic Group (Nigeria)"
"1393","Tigray Ethnic Militia (Ethiopia)"
"1394","Prisoners (Nigeria)"
"1395","LROR: Libya Revolutionaries Operations Room"
"1396","Bakonzo Ethnic Group (Uganda)"
"1397","Basongora Ethnic Group (Uganda)"
"1398","Bani Hussein Ethnic Group (Sudan); Social Fabric Committee"
"1399","Ogaden Ethnic Group (Ethiopia)"
"1400","Bafuliru Ethnic Group (Democratic Republic of Congo)"
"1401","Nuer Ethnic Group (South Sudan)"
"1402","Degodia Ethnic Group (Kenya)"
"1403","Christian Group (Central African Republic); Refugees/IDPs (Central African Republic)"
"1404","Nuer Ethnic Group (South Sudan); Women (South Sudan)"
"1405","Journalists (France)"
"1406","MSF: Doctors Without Borders; Health Workers (Central African Republic)"
"1407","Gwandara Ethnic Group (Nigeria)"
"1408","Nuer Ethnic Group (South Sudan); Students (South Sudan)"
"1409","Jukun Ethnic Group (Nigeria)"
"1410","Nuer Ethnic Group (South Sudan); Civilians (International); Aid Workers (International); ICRC: International Committee of the Red Cross and Red Crescent; UNMISS: United Nations Mission in the Republic of South Sudan (2011-)"
"1411","Prisoners (Central African Republic)"
"1412","UNICEF: United Nations Childrens Fund"
"1413","Misseriya Ethnic Group (Sudan)"
"1414","Militia (Haj Ag Gamou)"
"1415","Tarok Ethnic Group (Nigeria)"
"1416","Tuareg Ethnic Group (Mali); Militia (Haj Ag Gamou)"
"1417","Dinka Ngok Ethnic Group (Sudan)"
"1418","Christian Group (South Sudan); Dinka Ethnic Group (South Sudan)"
"1419","Muslim Group (Chad)"
"1420","LMJ-Karbino: Liberation Movement for Justice (Karbino)"
"1421","Dinka Ethnic Group (South Sudan); Nuer Ethnic Group (South Sudan)"
"1422","Christian Group (South Sudan); Civilians (International); Aid Workers (International)"
"1423","Women (Central African Republic)"
"1424","Muslim Group (Chad); Students (Central African Republic)"
"1425","Muslim Group (Central African Republic); Civilians (Cameroon)"
"1426","Christian Group (Central African Republic); Health Workers (Central African Republic)"
"1427","Unidentified Armed Group (Palestine)"
"1428","APGA: All Progressives Grand Alliance Party"
"1429","Christian Group (Nigeria); Students (Nigeria)"
"1430","Itsekiri Ethnic Group (Nigeria)"
"1431","Unidentified Ethnic Group (Nigeria)"
"1432","Students (Eritrea)"
"1433","Eastern Jikany Nuer Ethnic Group (South Sudan)"
"1434","ANDM: Amhara National Democratic Movement"
"1435","Government of Somalia (2012-2017); Journalists (Somalia)"
"1436","Misseriya Ethnic Group (South Sudan)"
"1437","Turkana Ethnic Group (Kenya)"
"1438","Pokomo Ethnic Group (Kenya)"
"1439","Orma Ethnic Group (Kenya)"
"1440","Protestant Christian Group (Nigeria)"
"1441","Suri Ethnic Group (Ethiopia)"
"1442","Guere Ethnic Group (Ivory Coast); Refugees/IDPs (Ivory Coast)"
"1443","Government of the Democratic Republic of Congo (2001-2019)"
"1444","Civilians (Mauritania)"
"1445","Birom Ethnic Group (Nigeria)"
"1446","Pere Ethnic Group (Nigeria)"
"1447","SSDA: South Sudan Democratic Army"
"1448","Journalists (Nigeria)"
"1449","Lou Nuer Ethnic Group (South Sudan); Dinka Ethnic Group (South Sudan)"
"1450","Tuareg Ethnic Militia (Niger)"
"1451","Students (Liberia)"
"1452","Murle Ethnic Group (Sudan)"
"1453","Nuba Ethnic Group (Sudan)"
"1454","Aid Workers (Sudan)"
"1455","UN: United Nations; Aid Workers (Ethiopia)"
"1456","Fulani Ethnic Group (Nigeria); Muslim Group (Nigeria)"
"1457","Anghan Ethnic Group (Nigeria)"
"1458","Health Workers (Libya)"
"1459","RDR: Rally of Republicans"
"1460","Shilluk Ethnic Group (Sudan)"
"1461","Mercenaries (International)"
"1462","Muslim Group (Ivory Coast); RDR: Rally of Republicans"
"1463","FNL: National Forces of Liberation; FRF: Federal Republican Forces"
"1464","Saad Clan Group (Somalia)"
"1465","Ouanda-Djalle Communal Militia (Central African Republic); UFDR: Union of Democratic Forces for Unity"
"1466","AU: African Union"
"1467","Women (Ethiopia)"
"1468","Jie Ethnic Group (Uganda)"
"1469","Women (Liberia)"
"1470","Government of Somalia (2004-2012); Students (Somalia); Journalists (Somalia)"
"1471","Munzaya Ethnic Group (Democratic Republic of Congo)"
"1472","Dinka Ethnic Group (Sudan)"
"1473","Awan Ethnic Group (Sudan)"
"1474","Lou Nuer Ethnic Group (Sudan)"
"1475","Government of Somalia (2004-2012)"
"1476","Women (Rwanda)"
"1477","Protestant Christian Group (Democratic Republic of Congo)"
"1478","Government of Somaliland (1993-2010); UN: United Nations"
"1479","Dodoth Ethnic Group (Uganda)"
"1480","Koulango Ethnic Group (Ivory Coast)"
"1481","Toposa Ethnic Group (Sudan)"
"1482","MDC: Movement for Democratic Change"
"1483","Bokora Ethnic Group (Uganda)"
"1484","Students (Sudan)"
"1485","Sabaot Ethnic Group (Kenya)"
"1486","Kikuyu Ethnic Group (Kenya)"
"1487","Kikuyu Ethnic Group (Kenya); Refugees/IDPs (Kenya)"
"1488","Students (Algeria)"
"1489","Government of Algeria (1999-)"
"1490","Civilians (Belarus)"
"1491","JEM: Justice and Equality Movement; SLM/A: Sudan Liberation Movement/Army"
"1492","FDC: Forum for Democratic Change"
"1493","Militia (Hussein Aideed)"
"1494","Gabra Ethnic Group (Kenya)"
"1495","Dioula Ethnic Group (Ivory Coast)"
"1496","Guere Ethnic Group (Ivory Coast)"
"1497","Oromo Ethnic Group (Ethiopia); Students (Ethiopia)"
"1498","Women (Uganda)"
"1499","Garre Ethnic Group (Kenya)"
"1500","Bete Ethnic Group (Ivory Coast)"
"1501","Labour Group (Rwanda)"
"1502","Banyamulenge Ethnic Group (Democratic Republic of Congo)"
"1503","Borana Ethnic Group (Kenya)"
"1504","Muslim Group (Nigeria); Women (Nigeria)"
"1505","Islamist Militia (Nigeria)"
"1506","Civilians (Burkina Faso); Civilians (International)"
"1507","Women (Sudan); Students (Sudan); Teachers (Sudan)"
"1508","Fur Ethnic Group (Sudan)"
"1509","Matheniko Ethnic Group (Uganda)"
"1510","Students (Uganda)"
"1511","Students (Burundi)"
"1512","Fur Ethnic Group (Sudan); Zaghawa Ethnic Group (Sudan)"
"1513","Christian Group (Uganda)"
"1514","We Ethnic Group (Ivory Coast)"
"1515","Fur Ethnic Militia (Sudan)"
"1516","Ijaw Ethnic Group (Nigeria)"
"1517","Muslim Group (Ivory Coast)"
"1518","Health Workers (Uganda)"
"1519","Afar Ethnic Group (Ethiopia); Women (Ethiopia)"
"1520","Dioula Ethnic Group (Ivory Coast); Muslim Group (Ivory Coast)"
"1521","Women (Algeria)"
"1522","Aid Workers (Uganda)"
"1523","Turkana Ethnic Group (Sudan)"
"1524","Women (Kenya)"
"1525","Sidama Ethnic Group (Ethiopia); Protesters (Ethiopia)"
"1526","Matiep Militia; SPDF: Sudan Peoples Democratic Front; Unidentified Armed Group (Sudan)"
"1527","Farmers (Algeria)"
"1528","Militia (Matiep); Mujahideen Militia"
"1529","Teachers (Burundi)"
"1530","Women (Tanzania)"
"1531","Aid Workers (Guinea)"
"1532","Civilians (International); Health Workers (Sudan)"
